transaction_year,total_commitments,total_disbursements,transaction_value
2004.0,58792028379.50796,59502781399.95273,52590911510.97832
2005.0,51206374374.32829,47910423986.418915,45698544837.15387
2006.0,49923479114.0245,45205808287.69539,42151975413.76857
2007.0,59177225177.81285,47064994773.62074,44044097247.85225
2008.0,76800556457.54552,64058065678.84241,60507872178.094406
2009.0,115215572719.86069,76720457640.87694,89386327029.48764
2010.0,109616430653.1533,59137599090.676765,76347430580.4495
2011.0,70132101109.39362,30321218285.60167,48771915578.4
2012.0,37554334126.70619,738589972.079402,37040951611.5777
2013.0,32572597109.82283,0.0,32572597109.82283
2014.0,46307620000.0,0.0,46307620000.0
